id,name,generic_term,generic_category,concise_code,lat,lon,location,decision_date
FEUSG,Alfred and Plantagenet,Township Municipality,Administrative Area,MUN2,45.5806000,-74.9190400,Prescott,1997-01-01
FACJF,Alfred Station,Railway Point,Populated Place,UNP,45.5294445,-74.8927778,Prescott,1968-06-26
FACJH,Algo,Railway Point,Populated Place,UNP,46.5096000,-80.9731700,Sudbury,1950-11-03
FEQQV,Algoma,Geographic District,Administrative Area,GEOG,47.7113889,-84.4061112,,1924-03-31
FIDQP,Algoma Headwaters Provincial Park,Provincial Park,Administrative Area,PARK,47.1366050,-83.6106330,Hoffman,2003-12-31
FACJN,Algoma Mills,Community,Populated Place,UNP,46.1853400,-82.8126700,Algoma,1991-10-22
FCWPZ,Algona,Geographic Township,Administrative Area,GEOG,45.5186100,-77.2893100,Renfrew,1978-01-01
FACJQ,Algonquin,Compact Rural Community,Populated Place,UNP,44.7032000,-75.6695600,Grenville,1952-06-06
FEVUD,Algonquin Highlands,Township Municipality,Administrative Area,MUN2,45.3963889,-78.6875000,Haliburton,2001-03-15
FACJV,Algonquin Park,Dispersed Rural Community,Populated Place,UNP,45.5516666,-78.5958334,Nipissing,1933-12-05
FACJR,Algonquin Provincial Park,Provincial Park,Administrative Area,PARK,45.8367800,-78.4292200,Nipissing; Haliburton,1990-12-31
FOBPR,Algonquins of Pikwakanagan First Nation,First Nation Administrative Location,Administrative Area,MUN2,45.5754945,-77.2500831,,2023-09-14
FACJX,Alice,Geographic Township,Administrative Area,GEOG,45.7900000,-77.2386111,Renfrew,1962-12-31
FACJY,Alice,Dispersed Rural Community,Populated Place,UNP,45.7572223,-77.2900000,Renfrew,1952-02-06
FACLD,Allan,Geographic Township,Administrative Area,GEOG,45.9069444,-82.3536111,Manitoulin,1962-12-31
FACLE,Allan,Dispersed Rural Community,Populated Place,UNP,44.6195600,-77.4774200,Hastings,1947-01-07
FACLY,Allan Mills,Dispersed Rural Community,Populated Place,UNP,44.4083333,-77.7222222,Northumberland,1932-11-02
FACMA,Allan Park,Dispersed Rural Community,Populated Place,UNP,44.1672223,-80.9325000,Grey,1944-12-07
FACMB,Allan Park Conservation Area,Conservation Area,Administrative Area,PARK,44.1473560,-80.9266660,Grey,
FEDES,Allanburg,Compact Rural Community,Populated Place,UNP,43.0762500,-79.2082400,Niagara,1937-12-07
FACMH,Allans Corners,Dispersed Rural Community,Populated Place,UNP,45.6780555,-77.0955555,Renfrew,1965-10-15
FEUEG,Allanwater Bridge,Community,Populated Place,UNP,50.2395930,-90.1676350,Thunder Bay,1993-08-03
FACMX,Allen,Geographic Township,Administrative Area,GEOG,46.0602778,-80.7672222,Sudbury,1962-12-31
FACNZ,Allen's Corners,Locality,Populated Place,UNP,43.1191667,-79.5880556,Niagara,1980-01-16
FACMZ,Allenby,Geographic Township,Administrative Area,GEOG,48.9069444,-82.7375000,Algoma,1962-12-31
FACNG,Allenford,Police Village,Populated Place,UNP,44.5362600,-81.1778000,Bruce,1946-02-02
FACOG,Allensville,Dispersed Rural Community,Populated Place,UNP,45.2615300,-79.3043500,Muskoka,1951-01-17
FACOH,Allenwood,Dispersed Rural Community,Populated Place,UNP,44.5762200,-79.9540400,Simcoe,1932-07-06
FACOI,Allenwood Beach,Dispersed Rural Community,Populated Place,UNP,44.5736111,-79.9916667,Simcoe,1949-03-03
FACOO,Allimil,Railway Point,Populated Place,UNP,44.1109900,-79.7928900,Simcoe,1949-11-03
FACOX,Allisonville,Dispersed Rural Community,Populated Place,UNP,44.0298000,-77.3676000,Prince Edward,1932-05-31
FACOY,Alliston,Urban Community,Populated Place,UNP,44.1536111,-79.8641667,Simcoe,1991-01-01
FACPB,Alloa,Dispersed Rural Community,Populated Place,UNP,43.7044440,-79.8563890,Peel,1950-05-04
FACPC,Allouez,Geographic Township,Administrative Area,GEOG,47.7028800,-84.9255600,Algoma,1975-07-03
FACPE,Allsaw,Dispersed Rural Community,Populated Place,UNP,44.9888889,-78.6111112,Haliburton,1953-11-05
FIDTI,Alm Lake Forest Conservation Reserve,Conservation Reserve,Administrative Area,PARK,47.4707160,-83.7801370,Hancock,2003-12-31
FACPK,Alma,Geographic Township,Administrative Area,GEOG,48.0586111,-80.5944445,Timiskaming,1962-12-31
FACPP,Alma,Compact Rural Community,Populated Place,UNP,43.7302700,-80.5023500,Wellington,1950-07-06
FACPL,Alma Station,Railway Point,Populated Place,UNP,43.7250000,-80.4950000,Wellington,1950-09-07
FACPZ,Almira,Dispersed Rural Community,Populated Place,UNP,43.9322222,-79.3366666,York,1950-05-04
FACQF,Almonte,Community,Populated Place,UNP,45.2248700,-76.1951300,Lanark,1998-01-01
FACQJ,Alnwick,Geographic Township,Administrative Area,GEOG,44.1924400,-78.0731800,Northumberland,1950-01-01
FEVHR,Alnwick/Haldimand,Township Municipality,Administrative Area,MUN2,44.1125000,-78.0533333,Northumberland,2001-01-01
FACQQ,Alpha,Geographic Township,Administrative Area,GEOG,50.2944444,-86.6488889,Thunder Bay,1962-12-31
FACRE,Alpine Village,Dispersed Rural Community,Populated Place,UNP,44.5763889,-78.4719445,Peterborough,1979-07-18
FACRD,Alpine Village,Urban Community,Populated Place,UNP,43.4236111,-80.4802777,Waterloo,1978-09-14
FACRF,Alport,Dispersed Rural Community,Populated Place,UNP,45.0223500,-79.3535400,Muskoka,1928-12-31
FACRK,Alsace,Dispersed Rural Community,Populated Place,UNP,46.0336111,-79.5438889,Parry Sound,1962-11-12
FACRM,Alsfeldt,Dispersed Rural Community,Populated Place,UNP,44.0103300,-80.9429300,Grey,1944-12-07
FACRP,Alsops Beach,Dispersed Rural Community,Populated Place,UNP,44.4472222,-79.1575000,Durham,1977-08-18
FAYTW,Alta Vista,Community,Populated Place,UNP,45.3863889,-75.6580555,Carleton,2003-09-19
FACRU,Althorpe,Dispersed Rural Community,Populated Place,UNP,44.7575100,-76.4753900,Lanark,1927-12-06
FCQBY,Alton,Geographic Township,Administrative Area,GEOG,47.0225000,-82.0077778,Sudbury,1962-12-31
FACSB,Alton,Compact Rural Community,Populated Place,UNP,43.8593100,-80.0689400,Peel,1936-10-06
FACSC,Altona,Dispersed Rural Community,Populated Place,UNP,43.9763889,-79.1969444,Durham,1950-05-04
FACSI,Alva,Railway Point,Populated Place,UNP,47.0420500,-84.0288000,Algoma,1952-07-03
FACSK,Alvanley,Dispersed Rural Community,Populated Place,UNP,44.5391200,-81.1198500,Grey,1946-02-02
FACSO,Alvinston,Community,Populated Place,UNP,42.8261111,-81.8638889,Lambton,2001-01-01
FBUCB,Amabel,Geographic Township,Administrative Area,GEOG,44.6591666,-81.2027778,Bruce,1962-12-31
FIDMD,Amable du Fond Provincial Park,Provincial Park,Administrative Area,PARK,46.1786460,-78.9173950,Lauder,2003-12-31
FAYIU,Amaranth,Geographic Township,Administrative Area,GEOG,43.9810700,-80.2331600,Dufferin,1947-08-07
FELKI,Amaranth,Township Municipality,Administrative Area,MUN2,43.9720800,-80.2369000,Dufferin,2000-01-01
FACTA,Amaranth Station,Railway Point,Populated Place,UNP,43.9027777,-80.2355556,Dufferin,1936-10-06
FACTF,Ambassador Beach,Locality,Populated Place,UNP,42.0131300,-82.9854500,Essex,1980-03-18
FACTJ,Amberley,Compact Rural Community,Populated Place,UNP,44.0430560,-81.7163890,Bruce,1974-12-31
FACTL,Ambleside,Dispersed Rural Community,Populated Place,UNP,44.0125600,-81.1993400,Bruce,1945-12-07
FACTY,Ameliasburg,Compact Rural Community,Populated Place,UNP,44.0591200,-77.4348500,Prince Edward,1951-12-06
FCXKM,Ameliasburgh,Geographic Township,Administrative Area,GEOG,44.0419445,-77.3800000,Prince Edward,1978-01-01
FDZNF,Amery,Geographic Township,Administrative Area,GEOG,50.2976300,-82.7833400,Cochrane,1962-12-31
FCWRY,Ames,Geographic Township,Administrative Area,GEOG,48.6577778,-90.6416667,Thunder Bay,1962-12-31
FACUN,Amesdale,Dispersed Rural Community,Populated Place,UNP,50.0158340,-92.9343370,Kenora,1989-11-29
FEUAI,Ameson,Locality,Populated Place,UNP,49.8061112,-84.5677778,Cochrane,1993-01-15
FACVA,Amethyst Harbour,Dispersed Rural Community,Populated Place,UNP,48.5426700,-88.8729100,Thunder Bay,1955-12-01
FACVK,Amherst Island,Geographic Township,Administrative Area,GEOG,44.1358000,-76.7245700,Lennox and Addington,1950-01-01
FACVM,Amherst Pointe,Dispersed Rural Community,Populated Place,UNP,42.0558333,-83.1147222,Essex,1965-07-23
FACVF,Amherstburg,Community,Populated Place,UNP,42.1042400,-83.1035100,Essex,1998-01-01
FEVJQ,Amherstburg,Town,Populated Place,TOWN,42.1172222,-83.0441666,Essex,1998-01-01
FACVO,Amherstview,Dispersed Rural Community,Populated Place,UNP,44.2232700,-76.6453800,Lennox and Addington,1967-11-30
FACVQ,Amigari Downs,Urban Community,Populated Place,UNP,42.9294445,-78.9452778,Niagara,1977-01-25
FACVR,Amigo Beach,Dispersed Rural Community,Populated Place,UNP,44.6863889,-79.3925000,Simcoe,1954-04-01
FECRU,Amik,Geographic Township,Administrative Area,GEOG,48.4933334,-83.8136111,Algoma,1962-12-31
FACWZ,Amulree,Dispersed Rural Community,Populated Place,UNP,43.4250000,-80.8383334,Perth,1949-03-03
FACXA,Amundsen,Geographic Township,Administrative Area,GEOG,48.6462500,-82.9305300,Algoma,1962-12-31
FACXC,Amwri,Railway Point,Populated Place,UNP,48.8091500,-85.8770600,Thunder Bay,1956-03-01
FBTYU,Amyot,Geographic Township,Administrative Area,GEOG,47.3672222,-81.2650000,Sudbury,1962-12-31
FACXO,Amyot,Dispersed Rural Community,Populated Place,UNP,48.4830556,-84.9536111,Algoma,1954-08-05
FDYYL,Ancaster,Geographic Township,Administrative Area,GEOG,43.1991600,-80.0001500,Wentworth,1962-12-31
FACYB,Ancaster,Community,Populated Place,UNP,43.2091667,-80.0119444,Wentworth,2001-01-01
FACYD,Ancaster Heights,Urban Community,Populated Place,UNP,43.2375000,-79.9644444,Wentworth,1974-08-01
FACYY,Ancliff,Railway Point,Populated Place,UNP,48.7016667,-88.5825000,Thunder Bay,1974-09-19
FACZB,Ancona Point,Dispersed Rural Community,Populated Place,UNP,44.5031700,-78.6143500,Victoria,1953-11-05
FECQO,Anderson,Geographic Township,Administrative Area,GEOG,46.6658333,-84.0336111,Algoma,1962-12-31
FACZH,Anderson,Dispersed Rural Community,Populated Place,UNP,43.3153100,-81.2440200,Perth,1950-07-06
FACZI,Anderson,Dispersed Rural Community,Populated Place,UNP,44.2022000,-76.9281600,Lennox and Addington,1967-11-30
FDQBY,Anderson Lake,Dispersed Rural Community,Populated Place,UNP,46.2306200,-81.7331700,Sudbury,1979-03-09
FADBD,Anderson Lake Station,Railway Point,Populated Place,UNP,46.2264400,-81.7115000,Sudbury,1979-09-03
FADCI,Andrewsville,Dispersed Rural Community,Populated Place,UNP,44.9517800,-75.8203500,Lanark,1962-12-31
FADBN,André,Geographic Township,Administrative Area,GEOG,48.0618300,-84.9891400,Algoma,1975-07-03
FADCR,Andy's Corners,Locality,Populated Place,UNP,42.7630556,-80.5938889,Norfolk,2003-02-18
FDIPR,Anglesea,Geographic Township,Administrative Area,GEOG,44.8393300,-77.2706800,Lennox and Addington,1962-12-31
FAAAR,Anglin,Geographic Township,Administrative Area,GEOG,45.9064000,-78.3134700,Nipissing,1962-12-31
FADEE,Angling Lake,Locality,Populated Place,UNP,53.8448400,-89.5309800,Kenora,1998-01-28
FAMQN,Angus,Geographic Township,Administrative Area,GEOG,46.8430556,-79.4405555,Nipissing,1962-12-31
FADEK,Angus,Locality,Populated Place,UNP,44.3190400,-79.8789100,Simcoe,1994-01-01
FOBRG,Animakee Wa Zhing #37,First Nation Administrative Location,Administrative Area,MUN2,49.3947139,-93.9729612,,2023-09-14
FOBRT,Animbiigoo Zaagi'igan Anishinaabek,First Nation Administrative Location,Administrative Area,MUN2,49.6026150,-87.9590585,,2023-09-14
FOBUC,Anishinabe of Wauzhushk Onigum,First Nation Administrative Location,Administrative Area,MUN2,49.7077206,-94.4464281,,2023-09-14
